user_id,product_id,action,timestamp
1675,120,view,2026-03-08 10:26:45.855285
1014,30,view,2026-03-08 10:26:45.855285
1675,120,wishlist,2026-03-08 10:27:10.855285
1014,30,click,2026-03-08 10:27:17.855285
1014,30,add_to_cart,2026-03-08 10:28:41.855285
879,5,view,2026-03-08 10:28:45.855285
910,22,view,2026-03-08 10:28:45.855285
879,5,add_to_cart,2026-03-08 10:29:17.855285
910,22,add_to_cart,2026-03-08 10:29:18.855285
910,22,purchase,2026-03-08 10:30:18.855285
1014,30,purchase,2026-03-08 10:31:41.855285
879,5,purchase,2026-03-08 10:32:17.855285
444,5,view,2026-03-08 10:33:45.855285
444,5,wishlist,2026-03-08 10:33:58.855285
2517,39,search,2026-03-08 10:37:45.855285
2517,39,click,2026-03-08 10:37:56.855285
163,140,view,2026-03-08 10:42:45.855285
163,140,wishlist,2026-03-08 10:42:56.855285
2390,199,view,2026-03-08 10:46:45.855285
2390,199,click,2026-03-08 10:47:16.855285
1499,81,search,2026-03-08 10:47:45.855285
1499,81,click,2026-03-08 10:47:53.855285
2390,199,add_to_cart,2026-03-08 10:48:17.855285
472,69,view,2026-03-08 10:48:45.855285
472,69,add_to_cart,2026-03-08 10:49:34.855285
2882,199,view,2026-03-08 10:52:45.855285
2349,159,view,2026-03-08 10:52:45.855285
473,101,view,2026-03-08 10:52:45.855285
473,101,wishlist,2026-03-08 10:53:03.855285
2349,159,wishlist,2026-03-08 10:53:04.855285
2882,199,wishlist,2026-03-08 10:53:08.855285
472,69,purchase,2026-03-08 10:53:34.855285
972,175,view,2026-03-08 10:54:45.855285
260,18,view,2026-03-08 10:55:45.855285
260,18,add_to_cart,2026-03-08 10:56:16.855285
2390,199,purchase,2026-03-08 10:56:17.855285
722,193,view,2026-03-08 10:57:45.855285
722,193,click,2026-03-08 10:58:13.855285
260,18,purchase,2026-03-08 10:58:16.855285
1712,118,view,2026-03-08 10:58:45.855285
1712,118,add_to_cart,2026-03-08 10:59:37.855285
1712,118,purchase,2026-03-08 11:00:37.855285
2497,86,search,2026-03-08 11:00:45.855285
1854,126,view,2026-03-08 11:04:45.855285
1854,126,click,2026-03-08 11:05:29.855285
1854,126,add_to_cart,2026-03-08 11:06:39.855285
51,195,view,2026-03-08 11:06:45.855285
51,195,click,2026-03-08 11:07:21.855285
572,136,view,2026-03-08 11:07:45.855285
829,185,view,2026-03-08 11:07:45.855285
51,195,add_to_cart,2026-03-08 11:07:53.855285
829,185,click,2026-03-08 11:08:11.855285
572,136,add_to_cart,2026-03-08 11:08:21.855285
346,78,view,2026-03-08 11:09:45.855285
346,78,click,2026-03-08 11:09:56.855285
51,195,purchase,2026-03-08 11:10:53.855285
1475,198,view,2026-03-08 11:11:45.855285
1475,198,click,2026-03-08 11:12:27.855285
1854,126,purchase,2026-03-08 11:12:39.855285
1222,110,view,2026-03-08 11:12:45.855285
1222,110,wishlist,2026-03-08 11:13:10.855285
572,136,purchase,2026-03-08 11:13:21.855285
1475,198,add_to_cart,2026-03-08 11:13:45.855285
737,165,view,2026-03-08 11:16:45.855285
737,165,wishlist,2026-03-08 11:17:15.855285
1475,198,purchase,2026-03-08 11:20:45.855285
1307,91,view,2026-03-08 11:22:45.855285
1307,91,add_to_cart,2026-03-08 11:23:36.855285
533,163,view,2026-03-08 11:26:45.855285
810,20,view,2026-03-08 11:26:45.855285
533,163,click,2026-03-08 11:27:08.855285
533,163,add_to_cart,2026-03-08 11:28:29.855285
1307,91,purchase,2026-03-08 11:28:36.855285
1439,82,search,2026-03-08 11:28:45.855285
1439,82,click,2026-03-08 11:28:57.855285
1747,187,view,2026-03-08 11:29:45.855285
1747,187,click,2026-03-08 11:30:03.855285
533,163,purchase,2026-03-08 11:33:29.855285
1408,199,view,2026-03-08 11:33:45.855285
1408,199,add_to_cart,2026-03-08 11:34:33.855285
2553,145,view,2026-03-08 11:34:45.855285
212,87,search,2026-03-08 11:35:45.855285
2331,51,search,2026-03-08 11:37:45.855285
1408,199,purchase,2026-03-08 11:39:33.855285
2029,73,view,2026-03-08 11:41:45.855285
2029,73,add_to_cart,2026-03-08 11:42:37.855285
602,149,view,2026-03-08 11:42:45.855285
602,149,wishlist,2026-03-08 11:43:00.855285
1540,125,search,2026-03-08 11:43:45.855285
1540,125,click,2026-03-08 11:43:55.855285
889,27,search,2026-03-08 11:45:45.855285
889,27,click,2026-03-08 11:46:03.855285
2029,73,purchase,2026-03-08 11:46:37.855285
1554,200,view,2026-03-08 11:48:45.855285
1554,200,click,2026-03-08 11:49:23.855285
1201,36,view,2026-03-08 11:55:45.855285
1201,36,click,2026-03-08 11:56:14.855285
605,27,view,2026-03-08 11:56:45.855285
605,27,wishlist,2026-03-08 11:57:05.855285
2648,101,view,2026-03-08 12:02:45.855285
1747,68,search,2026-03-08 12:02:45.855285
1747,68,click,2026-03-08 12:02:59.855285
2648,101,click,2026-03-08 12:03:23.855285
2131,193,view,2026-03-08 12:03:45.855285
2785,77,view,2026-03-08 12:03:45.855285
644,65,view,2026-03-08 12:03:45.855285
2785,77,wishlist,2026-03-08 12:04:01.855285
644,65,wishlist,2026-03-08 12:04:09.855285
2648,101,add_to_cart,2026-03-08 12:04:11.855285
2131,193,click,2026-03-08 12:04:30.855285
505,88,view,2026-03-08 12:05:45.855285
2131,193,add_to_cart,2026-03-08 12:06:00.855285
505,88,click,2026-03-08 12:06:04.855285
1419,20,view,2026-03-08 12:11:45.855285
1419,20,click,2026-03-08 12:12:14.855285
668,161,search,2026-03-08 12:12:45.855285
2648,101,purchase,2026-03-08 12:13:11.855285
418,27,view,2026-03-08 12:15:45.855285
2131,193,purchase,2026-03-08 12:16:00.855285
418,27,wishlist,2026-03-08 12:16:10.855285
1569,178,view,2026-03-08 12:16:45.855285
1569,178,wishlist,2026-03-08 12:17:08.855285
776,161,view,2026-03-08 12:19:45.855285
2898,160,view,2026-03-08 12:19:45.855285
776,161,click,2026-03-08 12:20:16.855285
2898,160,add_to_cart,2026-03-08 12:20:17.855285
1873,24,view,2026-03-08 12:20:45.855285
776,161,add_to_cart,2026-03-08 12:21:18.855285
657,103,view,2026-03-08 12:24:45.855285
2898,160,purchase,2026-03-08 12:25:17.855285
657,103,add_to_cart,2026-03-08 12:25:23.855285
2177,14,view,2026-03-08 12:27:45.855285
657,103,purchase,2026-03-08 12:28:23.855285
2177,14,add_to_cart,2026-03-08 12:28:35.855285
77,153,view,2026-03-08 12:28:45.855285
776,161,purchase,2026-03-08 12:29:18.855285
77,153,add_to_cart,2026-03-08 12:29:40.855285
2766,133,view,2026-03-08 12:30:45.855285
2766,133,add_to_cart,2026-03-08 12:31:16.855285
1858,186,view,2026-03-08 12:31:45.855285
1577,93,view,2026-03-08 12:31:45.855285
1577,93,wishlist,2026-03-08 12:32:03.855285
2177,14,purchase,2026-03-08 12:32:35.855285
1858,186,add_to_cart,2026-03-08 12:32:40.855285
77,153,purchase,2026-03-08 12:33:40.855285
2320,163,search,2026-03-08 12:33:45.855285
2320,163,click,2026-03-08 12:33:53.855285
2766,133,purchase,2026-03-08 12:34:16.855285
1858,186,purchase,2026-03-08 12:36:40.855285
2505,24,view,2026-03-08 12:38:45.855285
2505,24,wishlist,2026-03-08 12:39:01.855285
1273,139,view,2026-03-08 12:39:45.855285
1273,139,click,2026-03-08 12:40:18.855285
1116,11,search,2026-03-08 12:40:45.855285
1963,93,search,2026-03-08 12:42:45.855285
1963,93,click,2026-03-08 12:42:51.855285
468,48,view,2026-03-08 12:46:45.855285
468,48,add_to_cart,2026-03-08 12:47:34.855285
1334,69,view,2026-03-08 12:50:45.855285
468,48,purchase,2026-03-08 12:51:34.855285
1334,69,add_to_cart,2026-03-08 12:51:44.855285
2705,120,view,2026-03-08 12:53:45.855285
2275,113,view,2026-03-08 12:53:45.855285
2705,120,click,2026-03-08 12:54:09.855285
1531,2,view,2026-03-08 12:54:45.855285
1531,2,wishlist,2026-03-08 12:54:58.855285
2705,120,add_to_cart,2026-03-08 12:55:28.855285
1334,69,purchase,2026-03-08 12:55:44.855285
2297,108,view,2026-03-08 12:55:45.855285
2297,108,wishlist,2026-03-08 12:56:02.855285
1684,60,view,2026-03-08 12:57:45.855285
1684,60,add_to_cart,2026-03-08 12:58:34.855285
1684,60,purchase,2026-03-08 13:02:34.855285
1199,72,search,2026-03-08 13:02:45.855285
1502,83,view,2026-03-08 13:03:45.855285
1502,83,wishlist,2026-03-08 13:04:07.855285
2705,120,purchase,2026-03-08 13:05:28.855285
2656,72,view,2026-03-08 13:05:45.855285
2731,86,search,2026-03-08 13:06:45.855285
1944,46,view,2026-03-08 13:06:45.855285
1944,46,add_to_cart,2026-03-08 13:07:38.855285
